city_ascii,lat,lng,country,iso3,population,pop_weight,AQI_MEAN,AQI_STATUS,color,text
Tokyo,35.685,139.7514,Japan,JPN,35676000,0.08090498,26.428571428571427,Good,#0D9E6E,Tokyo - Japan<br>Population 35.676<br>AQI: 26.4286
Mexico City,19.4424,-99.131,Mexico,MEX,19028000,0.124056117,64.0,Moderate,#FBDE3B,Mexico City - Mexico<br>Population 19.028<br>AQI: 64.0
Dhaka,23.7231,90.4086,Bangladesh,BGD,12797394,0.15307767,144.5,Unhealthy for Sensitive Group,#FF9E3D,Dhaka - Bangladesh<br>Population 12.797394<br>AQI: 144.5
Buenos Aires,-34.6025,-58.3975,Argentina,ARG,12795000,0.182093793,68.0,Moderate,#FBDE3B,Buenos Aires - Argentina<br>Population 12.795<br>AQI: 68.0
Cairo,30.05,31.25,Egypt,EGY,11893000,0.20906438800000002,46.0,Good,#0D9E6E,Cairo - Egypt<br>Population 11.893<br>AQI: 46.0
Beijing,39.9289,116.3883,China,CHN,11106000,0.234250247,90.05,Moderate,#FBDE3B,Beijing - China<br>Population 11.106<br>AQI: 90.05
Manila,14.6042,120.9822,Philippines,PHL,11100000,0.259422499,38.0,Good,#0D9E6E,Manila - Philippines<br>Population 11.1<br>AQI: 38.0
Moscow,55.7522,37.6155,Russia,RUS,10452000,0.283125236,28.157894736842106,Good,#0D9E6E,Moscow - Russia<br>Population 10.452<br>AQI: 28.1579
Paris,48.8667,2.3333,France,FRA,9904000,0.305585235,26.235294117647058,Good,#0D9E6E,Paris - France<br>Population 9.904<br>AQI: 26.2353
Seoul,37.5663,126.9997,South Korea,KOR,9796000,0.327800315,67.80952380952381,Moderate,#FBDE3B,Seoul - South Korea<br>Population 9.796<br>AQI: 67.8095
Jakarta,-6.1744,106.8294,Indonesia,IDN,9125000,0.34849372100000003,91.66666666666667,Moderate,#FBDE3B,Jakarta - Indonesia<br>Population 9.125<br>AQI: 91.6667
London,51.5,-0.1167,United Kingdom,GBR,8567000,0.36792171100000004,24.94736842105263,Good,#0D9E6E,London - United Kingdom<br>Population 8.567<br>AQI: 24.9474
Lima,-12.048,-77.0501,Peru,PER,8012000,0.38609108799999997,40.18181818181818,Good,#0D9E6E,Lima - Peru<br>Population 8.012<br>AQI: 40.1818
Tehran,35.6719,51.4243,Iran,IRN,7873000,0.403945245,84.85714285714286,Moderate,#FBDE3B,Tehran - Iran<br>Population 7.873<br>AQI: 84.8571
Kinshasa,-4.3297,15.315,Congo (Kinshasa),COD,7843000,0.42173136899999997,,No Status,#EEEEEE,Kinshasa - Congo (Kinshasa)<br>Population 7.843<br>AQI: nan
Bogota,4.5964,-74.0833,Colombia,COL,7772000,0.439356481,63.857142857142854,Moderate,#FBDE3B,Bogota - Colombia<br>Population 7.772<br>AQI: 63.8571
Taipei,25.0358,121.5683,Taiwan,TWN,6900273,0.455004717,78.52380952380952,Moderate,#FBDE3B,Taipei - Taiwan<br>Population 6.900273<br>AQI: 78.5238
Bangkok,13.75,100.5166,Thailand,THA,6704000,0.47020785,115.07142857142857,Unhealthy for Sensitive Group,#FF9E3D,Bangkok - Thailand<br>Population 6.704<br>AQI: 115.0714
Santiago,-33.45,-70.667,Chile,CHL,5720000,0.483179497,61.6,Moderate,#FBDE3B,Santiago - Chile<br>Population 5.72<br>AQI: 61.6
Madrid,40.4,-3.6834,Spain,ESP,5567000,0.49580417600000004,83.75,Moderate,#FBDE3B,Madrid - Spain<br>Population 5.567<br>AQI: 83.75
Washington,38.9047,-77.0163,United States,USA,5289420,0.507799366,25.625,Good,#0D9E6E,Washington - United States<br>Population 5.28942<br>AQI: 25.625
Singapore,1.2930000000000001,103.8558,Singapore,SGP,5183700,0.519554808,41.2,Good,#0D9E6E,Singapore - Singapore<br>Population 5.1837<br>AQI: 41.2
Luanda,-8.8383,13.2344,Angola,AGO,5172900,0.531285758,,No Status,#EEEEEE,Luanda - Angola<br>Population 5.1729<br>AQI: nan
Baghdad,33.3386,44.3939,Iraq,IRQ,5054000,0.54274707,61.0,Moderate,#FBDE3B,Baghdad - Iraq<br>Population 5.054<br>AQI: 61.0
Khartoum,15.5881,32.5342,Sudan,SDN,4754000,0.553528051,,No Status,#EEEEEE,Khartoum - Sudan<br>Population 4.754<br>AQI: nan
Riyadh,24.6408,46.7727,Saudi Arabia,SAU,4465000,0.563653646,30.444444444444443,Good,#0D9E6E,Riyadh - Saudi Arabia<br>Population 4.465<br>AQI: 30.4444
Hanoi,21.0333,105.85,Vietnam,VNM,4378000,0.573581946,152.0,Unhealthy,#ff5252,Hanoi - Vietnam<br>Population 4.378<br>AQI: 152.0
Rangoon,16.7834,96.1667,Burma,MMR,4088000,0.582852591,139.0,Unhealthy for Sensitive Group,#FF9E3D,Rangoon - Burma<br>Population 4.088<br>AQI: 139.0
Abidjan,5.32,-4.04,CÃ´te Dâ€™Ivoire,CIV,3802000,0.591474655,,No Status,#EEEEEE,Abidjan - CÃ´te Dâ€™Ivoire<br>Population 3.802<br>AQI: nan
Brasilia,-15.7833,-47.9161,Brazil,BRA,3716996,0.599903949,45.04761904761905,Good,#0D9E6E,Brasilia - Brazil<br>Population 3.716996<br>AQI: 45.0476
Ankara,39.9272,32.8644,Turkey,TUR,3716000,0.608330984,98.73333333333333,Moderate,#FBDE3B,Ankara - Turkey<br>Population 3.716<br>AQI: 98.7333
Berlin,52.5218,13.4015,Germany,DEU,3406000,0.61605501,24.9,Good,#0D9E6E,Berlin - Germany<br>Population 3.406<br>AQI: 24.9
Algiers,36.7631,3.0506,Algeria,DZA,3354000,0.6236611120000001,53.0,Moderate,#FBDE3B,Algiers - Algeria<br>Population 3.354<br>AQI: 53.0
Rome,41.896,12.4833,Italy,ITA,3339000,0.631233198,52.68421052631579,Moderate,#FBDE3B,Rome - Italy<br>Population 3.339<br>AQI: 52.6842
Pyongyang,39.0194,125.7547,North Korea,PRK,3300000,0.638716841,,No Status,#EEEEEE,Pyongyang - North Korea<br>Population 3.3<br>AQI: nan
Kabul,34.5167,69.1833,Afghanistan,AFG,3277000,0.646148324,,No Status,#EEEEEE,Kabul - Afghanistan<br>Population 3.277<br>AQI: nan
Athens,37.9833,23.7333,Greece,GRC,3242000,0.653500436,27.0,Good,#0D9E6E,Athens - Greece<br>Population 3.242<br>AQI: 27.0
Cape Town,-33.92,18.435,South Africa,ZAF,3215000,0.660791319,34.666666666666664,Good,#0D9E6E,Cape Town - South Africa<br>Population 3.215<br>AQI: 34.6667
Addis Ababa,9.0333,38.7,Ethiopia,ETH,3100000,0.667821407,61.0,Moderate,#FBDE3B,Addis Ababa - Ethiopia<br>Population 3.1<br>AQI: 61.0
Nairobi,-1.2833,36.8167,Kenya,KEN,3010000,0.6746473959999999,,No Status,#EEEEEE,Nairobi - Kenya<br>Population 3.01<br>AQI: nan
