city_ascii;lat;lng;country;iso3;population;pop_weight
Ouagadougou;12.3703;-1.5247;Burkina Faso;BFA;1149000;0.882701279
Ottawa;45.4167;-75.7;Canada;CAN;1145000;0.885297876
Helsinki;60.1756;24.9341;Finland;FIN;1115000;0.88782644
Yerevan;40.1812;44.5136;Armenia;ARM;1102000;0.890325523
Mogadishu;2.0667;45.3667;Somalia;SOM;1100000;0.892820071
Tbilisi;41.725;44.7908;Georgia;GEO;1100000;0.895314618
Belgrade;44.8186;20.468;Serbia;SRB;1099000;0.897806898
Dushanbe;38.56;68.7739;Tajikistan;TJK;1086244;0.90027025
Copenhagen;55.6786;12.5635;Denmark;DNK;1085000;0.902730781
Amman;31.95;35.9333;Jordan;JOR;1060000;0.905134618
Dublin;53.3331;-6.2489;Ireland;IRL;1059000;0.907536187
Monrovia;6.3106;-10.8048;Liberia;LBR;1041000;0.909896936
Amsterdam;52.35;4.9166;Netherlands;NLD;1031000;0.912235007
Jerusalem;31.7784;35.2066;Israel;ISR;1029300;0.914569224
Guatemala City;14.6211;-90.527;Guatemala;GTM;1024000;0.91689142
N'Djamena;12.1131;15.0491;Chad;TCD;989000;0.919134246
Tegucigalpa;14.102;-87.2175;Honduras;HND;946000;0.921279556
Kingston;17.9771;-76.7674;Jamaica;JAM;937700;0.923406045
Nay Pyi Taw;19.7666;96.1186;Burma;MMR;930000;0.925515071
Djibouti;11.595;43.148;Djibouti;DJI;923000;0.927608224
Managua;12.153;-86.2685;Nicaragua;NIC;920000;0.929694572
Niamey;13.5167;2.1167;Niger;NER;915000;0.931769582
Tirana;41.3275;19.8189;Albania;ALB;895350;0.933800031
Kathmandu;27.7167;85.3166;Nepal;NPL;895000;0.935829685
Ulaanbaatar;47.9167;106.9166;Mongolia;MNG;885000;0.937836662
Kigali;-1.9536;30.0605;Rwanda;RWA;860000;0.939786945
Bishkek;42.8731;74.5852;Kyrgyzstan;KGZ;837000;0.941685069
Oslo;59.9167;10.75;Norway;NOR;835000;0.943578657
Bangui;4.3666;18.5583;Central African Republic;CAF;831925;0.945465272
Freetown;8.47;-13.2342;Sierra Leone;SLE;827000;0.947340718
Islamabad;33.7;73.1666;Pakistan;PAK;780000;0.949109579
Cotonou;6.4;2.52;Benin;BEN;762000;0.95083762
Vientiane;17.9667;102.6;Laos;LAO;754000;0.952547519
Riga;56.95;24.1;Latvia;LVA;742572;0.954231502
Nouakchott;18.0864;-15.9753;Mauritania;MRT;742144;0.955914514
Muscat;23.6133;58.5933;Oman;OMN;734697;0.957580639
Ashgabat;37.95;58.3833;Turkmenistan;TKM;727700;0.959230895
Zagreb;45.8;16;Croatia;HRV;722526;0.960869418
Sarajevo;43.85;18.383;Bosnia And Herzegovina;BIH;696731;0.962449444
Chisinau;47.005;28.8577;Moldova;MDA;688134;0.964009974
Lilongwe;-13.9833;33.7833;Malawi;MWI;646750;0.965476655
Asmara;15.3333;38.9333;Eritrea;ERI;620802;0.966884491
Abu Dhabi;24.4667;54.3666;United Arab Emirates;ARE;603492;0.968253073
Port Louis;-20.1666;57.5;Mauritius;MUS;595491;0.96960351
Libreville;0.3854;9.458;Gabon;GAB;578156;0.970914635
Manama;26.2361;50.5831;Bahrain;BHR;563920;0.972193476
Vilnius;54.6834;25.3166;Lithuania;LTU;542366;0.973423437
Skopje;42;21.4335;Macedonia;MKD;494087;0.974543913
Bloemfontein;-29.12;26.2299;South Africa;ZAF;463064;0.975594036
Bratislava;48.15;17.117;Slovakia;SVK;423737;0.976554975
Bissau;11.865;-15.5984;Guinea-Bissau;GNB;403339;0.977469655
Tallinn;59.4339;24.728;Estonia;EST;394024;0.978363211
Wellington;-41.3;174.7833;New Zealand;NZL;393400;0.979255352
Valletta;35.8997;14.5147;Malta;MLT;368250;0.980090458
Maseru;-29.3167;27.4833;Lesotho;LSO;361324;0.980909858
Nur-Sultan;51.1811;71.4278;Kazakhstan;KAZ;345604;0.981693609
Bujumbura;-3.3761;29.36;Burundi;BDI;331700;0.982445828
Canberra;-35.283;149.129;Australia;AUS;327700;0.983188977
New Delhi;28.6;77.2;India;IND;317797;0.983909667
Ljubljana;46.0553;14.515;Slovenia;SVN;314807;0.984623577
